"","dmel_gene","tissue","treatment","logFC.hyb_sim","logCPM.hyb_sim","F.hyb_sim","PValue.hyb_sim","FDR.hyb_sim","logFC.hyb_sec","logCPM.hyb_sec","F.hyb_sec","PValue.hyb_sec","FDR.hyb_sec","inher"
"1","128up","Fat Body","Control",-0.00656315573885458,7.47671249696787,0.00259498670900414,0.95974531816229,0.97945666172693,-0.0740822836841402,7.47671249696787,0.330544346215603,0.570070994243173,0.688714507754516,"Conserved"
"2","128up","Fat Body","Response",0.254858755264122,7.47671249696787,1.9566157635517,0.173191553713143,0.796773486798548,0.45610807626437,7.47671249696787,6.26286463790112,0.018644039102327,0.212298812449426,"Conserved"
"3","128up","Fat Body","Wasp",0.248295599525268,7.47671249696787,3.71244768016381,0.0645305226081538,0.132830226528548,0.38202579258023,7.47671249696787,8.77646444092391,0.00627495099120069,0.0185596615924263,"Conserved"
"4","14-3-3epsilon","Fat Body","Control",-0.0675246840033823,7.69145119042554,0.620793840529832,0.437575052846631,0.573848096488496,0.134070499131207,7.69145119042554,2.44467679573376,0.129501997420711,0.23230881775578,"Conserved"
"5","14-3-3epsilon","Fat Body","Response",-0.0213004192079341,7.69145119042554,0.0308845660066321,0.861801855996592,0.995380458204705,-0.271979215871639,7.69145119042554,5.03312003716848,0.0332198556678362,0.269721344466468,"Conserved"
"6","14-3-3epsilon","Fat Body","Wasp",-0.0888251032113164,7.69145119042554,1.07375747150706,0.309236344128817,0.442911397587458,-0.137908716740432,7.69145119042554,2.58952568133521,0.119135716561475,0.203781540651968,"Conserved"
"7","14-3-3zeta","Fat Body","Control",-0.0687117624225218,7.35549202561436,0.433459215468579,0.515838868308363,0.643374331481993,-0.0188177701295525,7.35549202561436,0.0324949071117104,0.858284005292801,0.908760541721698,"Conserved"
"8","14-3-3zeta","Fat Body","Response",0.124617022185146,7.35549202561436,0.713001443977561,0.405825572834504,0.923051869159407,0.064970666267205,7.35549202561436,0.193848986239084,0.663216355303702,0.872061939535352,"Conserved"
"9","14-3-3zeta","Fat Body","Wasp",0.0559052597626242,7.35549202561436,0.287044795760396,0.596481056382454,0.712479415664522,0.0461528961376525,7.35549202561436,0.195810389110893,0.661628003977193,0.755950690219056,"Conserved"
"10","312","Fat Body","Control",-0.290553749153528,3.84710672634181,3.41319958459907,0.0755966178282445,0.153322283260631,-0.302190573847444,3.84710672634181,3.67624703160387,0.0657665457262715,0.139536279126321,"Conserved"
"11","312","Fat Body","Response",0.0885706803491325,3.84710672634181,0.160257919439436,0.692050549167128,0.976113590600075,0.274363035159824,3.84710672634181,1.5349200466542,0.225975687592395,0.560036504561899,"Conserved"
"12","312","Fat Body","Wasp",-0.201983068804395,3.84710672634181,1.67836688646028,0.206044487931953,0.32626993643527,-0.0278275386876202,3.84710672634181,0.0319625827026256,0.859436715835806,0.905532838414613,"Conserved"
"13","4E-T","Fat Body","Control",0.156851500109407,4.8858604825178,2.42926723991974,0.13066572165127,0.231820555801255,0.0192575888785955,4.8858604825178,0.0366388340576655,0.849625994018071,0.90267084974894,"Conserved"
"14","4E-T","Fat Body","Response",-0.383148292926717,4.8858604825178,7.23958122646367,0.0120520942804264,0.494932698177181,-0.358186782129946,4.8858604825178,6.35005094033812,0.0179183840789859,0.208145562858047,"Conserved"
"15","4E-T","Fat Body","Wasp",-0.22629679281731,4.8858604825178,5.04492744899426,0.0330305340640748,0.0781565351258989,-0.338929193251351,4.8858604825178,11.3827356034995,0.00224403780177107,0.00791787354219725,"Conserved"
"16","AANATL2","Fat Body","Control",0.502338317269881,4.63321408369973,0.885329218741038,0.355578704011129,0.492576130535628,0.355160979052654,4.63321408369973,0.441282754277228,0.51246909801236,0.638850714506628,"Conserved"
"17","AANATL2","Fat Body","Response",-0.0944570395125509,4.63321408369973,0.0152996464630286,0.902529586533881,0.999945770375724,1.19559192749669,4.63321408369973,2.38438517791976,0.134879103824,0.453612553033887,"Conserved"
"18","AANATL2","Fat Body","Wasp",0.40788127775733,4.63321408369973,0.55871607578827,0.461618626805407,0.595015034136463,1.55075290654935,4.63321408369973,7.49441636637652,0.0111254370326826,0.0296238708481517,"*D. simulans* dominant"
"19","AANATL4","Fat Body","Control",1.76249633927943,4.23643462997435,23.1007243433916,5.37552187517976e-05,0.000521248187092433,0.883749825450401,4.23643462997435,6.16527291267081,0.019678128535881,0.0549645275964479,"*D. sechellia* dominant"
"20","AANATL4","Fat Body","Response",0.133617047627854,4.23643462997435,0.0683858380249128,0.795726551776479,0.98788355798013,1.35756553793158,4.23643462997435,7.05194939847553,0.0132384527212815,0.178831852786619,"*D. simulans* dominant"
"21","AANATL4","Fat Body","Wasp",1.89611338690729,4.23643462997435,25.6838054360015,2.67932011784985e-05,0.000247463599732266,2.24131536338198,4.23643462997435,35.1430004979887,2.76708029696087e-06,2.71195700110426e-05,"Overdominant"
"22","Aatf","Fat Body","Control",1.21385739737491,5.84051044533712,33.8309317974411,3.36117765248498e-06,5.44029047400582e-05,-0.684845691470208,5.84051044533712,11.2234764736185,0.00238361060700799,0.0108463013793248,"Conserved"
"23","Aatf","Fat Body","Response",-0.128838325591832,5.84051044533712,0.196699118877332,0.660911452896247,0.971875882365574,0.52849180249238,5.84051044533712,3.37250548637994,0.0772614754179063,0.370214340744047,"Conserved"
"24","Aatf","Fat Body","Wasp",1.08501907178307,5.84051044533712,27.4382511404186,1.57942764900795e-05,0.000161818061606608,-0.156353888977828,5.84051044533712,0.591925774334004,0.448314897389974,0.567127475847959,"Conserved"
