"logFC","logCPM","F","PValue","FDR","dmel_gene","species","tissue"
5.62944114325807,3.19157413781052,91.9493461639161,4.3777584321351e-10,2.17530816492793e-06,"PPO3","*D. simulans*","Fat Body"
10.7828942476967,8.25135205767773,112.442346400785,5.4350271693463e-09,1.20485565967248e-05,"TotX","*D. simulans*","Fat Body"
-2.02822384934845,9.47112353431573,67.8670026314785,7.27423421013776e-09,1.20485565967248e-05,"CG4306.CG32196.Dsim_GD12343","*D. simulans*","Fat Body"
9.77704111648806,1.63945467339368,57.8451510039404,9.68765747882265e-08,0.000120344925030674,"TotA.TotB.Dsim_GD19384","*D. simulans*","Fat Body"
-0.620630708377003,6.79571723755063,34.7184511813929,2.74835898197325e-06,0.00273131915628502,"CG5126","*D. simulans*","Fat Body"
-1.25289783637239,7.93119354704742,33.7379490254698,3.43341844170124e-06,0.00284344270613558,"CG7231","*D. simulans*","Fat Body"
-0.673457277687364,11.2438593635241,30.169120011823,7.97644001803612e-06,0.0056621329213745,"scu","*D. simulans*","Fat Body"
-1.00558261038428,5.30623632644727,28.9011027566079,1.0906196136025e-05,0.00677411107498855,"CG10208","*D. simulans*","Fat Body"
-0.537942186528205,6.38640434728895,28.3483958757659,1.25288500039099e-05,0.00691731729660315,"CG8042","*D. simulans*","Fat Body"
5.17611863839621,3.09703607468476,28.4567329440748,1.49717673515697e-05,0.00697861389459835,"CG1208","*D. simulans*","Fat Body"
8.92371332576113,0.838484428108676,52.3647936131018,1.54487327109241e-05,0.00697861389459835,"TotM.TotF.Dsim_GD21729","*D. simulans*","Fat Body"
0.623456557699734,3.45095218422203,26.5603933086065,1.98251415866183e-05,0.0076712204439112,"Prp3","*D. simulans*","Fat Body"
-0.973071492425712,8.89594000746856,26.513489021379,2.00696047033298e-05,0.0076712204439112,"CG11151","*D. simulans*","Fat Body"
-0.487626408534059,7.52456647128504,25.860554920721,2.38313526338943e-05,0.0079835982633182,"Prosbeta6","*D. simulans*","Fat Body"
-1.04537897469445,11.5574306245151,25.6548563162661,2.51684290267987e-05,0.0079835982633182,"FBgn0193408","*D. simulans*","Fat Body"
-0.63933367990618,6.12326207285543,25.1551348178648,2.87648820719181e-05,0.0079835982633182,"Herp","*D. simulans*","Fat Body"
-1.17642558944033,3.98555039635271,25.0362491296684,2.96995271088185e-05,0.0079835982633182,"Hen1","*D. simulans*","Fat Body"
-0.503672348967584,6.62347764434261,24.9511789080903,3.03883583622167e-05,0.0079835982633182,"CG5382","*D. simulans*","Fat Body"
-0.49480895705794,7.46868194728684,24.7601624251675,3.19984983984584e-05,0.0079835982633182,"Prosbeta4","*D. simulans*","Fat Body"
4.84900427300068,2.38658440779915,25.1284315263978,3.21336215066138e-05,0.0079835982633182,"ItgaPS4","*D. simulans*","Fat Body"
8.77019982026607,9.76021788071445,25.2762789612365,3.47656485786588e-05,0.00822621465654074,"Def","*D. simulans*","Fat Body"
-0.8030780419136,9.51486933680129,23.825506665639,4.13171120872379e-05,0.00933203318006751,"CG6178","*D. simulans*","Fat Body"
-0.880048680860559,6.90852653810297,23.2035481377332,4.9114383903449e-05,0.0099177354236351,"dob","*D. simulans*","Fat Body"
-1.48848631829168,5.03217521242247,23.238262826272,5.04439814105303e-05,0.0099177354236351,"Adk3","*D. simulans*","Fat Body"
-0.541088717961243,7.70744919232193,22.9253713245999,5.31020371847663e-05,0.0099177354236351,"Prosbeta1","*D. simulans*","Fat Body"
-0.735727078972273,7.75857427287327,22.8048185426029,5.49371778464514e-05,0.0099177354236351,"Gbs-76A","*D. simulans*","Fat Body"
-0.494467394005352,8.12961246792847,22.7954431023154,5.50827311536264e-05,0.0099177354236351,"Rpn9","*D. simulans*","Fat Body"
9.40816698030429,8.29828559085615,23.4658266129578,5.58858103968168e-05,0.0099177354236351,"FBgn0183166","*D. simulans*","Fat Body"
