"","A01.SEC.wasp","A11.HYB.ctrl","A03.SEC.ctrl","A05.SIM.wasp","A07.SIM.ctrl","A09.HYB.wasp","B01.SEC.wasp","B11.HYB.ctrl","B03.SEC.ctrl","B05.SIM.wasp","B07.SIM.ctrl","B09.HYB.wasp","D01.SEC.wasp","D11.HYB.ctrl","D03.SEC.ctrl","D05.SIM.wasp","D07.SIM.ctrl","D09.HYB.wasp"
"Galk",44.44529,34.21353,55.52848,32.22815,55.85574,35.29579,65.49682,54.14733,60.34685,44.89057,36.56142,45.58541,52.51574,40.74829,71.55235,52.21826,54.58735,40.51212
"galla-1",21.36493,28.15605,26.85888,19.64711,32.5568,31.7508,22.08614,35.93743,39.79075,25.07559,20.17182,28.56301,23.13053,28.85198,21.91077,26.50592,23.55015,30.09052
"Galphao",11.85208,6.506179,7.997308,11.54698,3.24025,5.702814,11.27155,4.70322,2.496099,7.189505,2.521477,10.24229,11.32924,6.290005,7.189471,6.507442,3.267073,6.752019
"Galphaq",7.953368,8.188812,7.242845,7.410751,6.634798,9.093676,7.920546,9.527036,4.111221,8.416981,7.144185,7.212882,7.552826,8.751311,6.504759,9.364368,6.534147,6.458453
"Galphas",5.926039,6.281828,4.526778,5.687321,5.86331,8.323025,4.721864,6.27096,10.57171,6.48809,6.09357,5.337533,6.962761,5.46957,5.477692,5.555134,3.53933,4.403491
"Galt",125.0706,121.1495,171.414,61.52647,126.5241,81.84308,300.5238,134.3433,395.5582,66.28373,122.5018,101.4131,172.1808,152.1908,162.1054,68.09007,144.1596,96.73002
"gammaCOP",534.2792,438.2697,452.376,426.2044,437.1252,433.4138,517.1203,431.8521,408.0387,473.9813,414.783,488.3121,553.1265,458.2132,439.2424,465.6789,439.4214,461.9262
"gammaSnap1",45.22503,50.14245,36.6669,69.45425,30.08804,82.92199,34.27159,62.46841,60.05319,99.42559,22.27305,73.71565,38.23618,51.41395,28.5867,83.327,26.00046,66.93306
"gammaTub23C",24.79579,39.48578,31.83834,45.32622,60.48467,38.07014,21.93382,49.92649,27.60391,50.32653,47.48782,37.07421,27.73303,44.98721,31.32555,53.17056,45.33064,39.92498
"Gapdh1.Gapdh2.Dsim_GD10219",886.5666,1399.95,952.8868,3893.229,886.4399,3647.026,2022.176,1587.397,1884.554,5286.215,3413.24,3609.326,1511.509,1989.146,1916.165,4238.249,2294.983,3309.664
"Gapdh1.Gapdh2.Dsim_GD17248",1296.399,2117.874,1377.8,3940.968,381.4238,4779.42,1661.639,2028.776,2313.883,5117.349,2562.031,3778.54,2323.792,2060.25,1576.377,3956.684,741.2173,4195.059
"GAPsec",48.49995,56.98516,49.79456,54.97743,63.41633,56.25749,39.75505,55.47388,58.14441,58.39281,51.48016,52.7983,42.72067,54.6957,49.98394,53.32928,55.8125,54.75007
"Gapvd1",932.7273,621.228,706.781,1052.671,130.2272,889.7931,1062.876,488.2907,308.0479,905.0008,181.9666,915.0262,1154.756,531.7789,695.3245,808.3513,168.7988,773.8401
"garz",320.4739,193.7271,250.9344,212.1543,131.6159,190.8131,358.1001,112.7567,75.47027,156.7663,228.4038,179.3122,323.1193,171.471,262.758,157.7658,188.129,189.6437
"Gas41",48.49995,36.34486,39.68476,21.37054,28.39076,37.29948,28.4835,43.89672,71.50588,29.45943,17.65034,39.67085,36.22996,36.78286,33.03733,28.56926,23.95854,32.73262
"Gasp",43.8215,0,14.48569,0.6893722,75.45154,2.157821,16.29805,0.1205954,56.67612,0.1753538,316.2353,26.54341,33.04361,0,11.29774,0.4761543,0.8167683,0.8806982
"Gasz",85.14782,103.3136,101.2489,97.20148,121.2779,104.8085,63.66901,133.3785,84.1332,124.8519,80.0569,109.203,80.36679,118.1427,89.52603,116.8165,92.56708,118.4539
"Gat",3.586813,0.3365265,5.583026,0.3446861,0.4628929,1.078911,8.377501,0.602977,1.468293,0.8767689,0.8404924,1.298319,3.068335,1.640871,10.27067,0.9523086,1.225153,0.146783
"GATAd",30.25399,34.55006,28.82049,32.57284,25.7677,30.05537,25.89409,26.1692,14.09562,24.90024,28.99699,27.84172,24.54668,30.90307,21.22606,30.31516,21.09985,25.9806
"Gba1b",1.871381,1.458282,2.263389,0.5170291,0.1542976,0.1541301,4.569546,0.8441678,2.642928,0.5260613,0.2101231,1.009803,3.186348,2.598046,7.360648,0.1587181,0.5445122,0.2935661
"Gbp1",0.9356903,1.121755,1.056248,5.687321,0.3085953,5.702814,6.702001,0.8441678,7.488296,12.09941,1.050616,5.914563,1.180129,2.871524,5.477692,8.253341,4.21997,3.522793
"Gbp2",30.09804,5.4966,38.93029,51.35823,1.542976,32.52145,385.9743,4.220839,163.8615,38.22712,2.7316,54.38513,96.65257,57.97744,299.5613,55.55134,122.5153,29.79695
"Gbp3",32.28132,15.81675,62.46954,58.76898,7.251989,46.39316,411.7161,18.3305,293.2182,62.25059,9.45554,80.92854,114.9446,70.28397,249.9197,63.32852,223.3861,44.47526
"Gbs-70E",17.93407,2.24351,14.1839,22.92163,4.628929,7.552375,79.66242,0.8441678,43.46148,21.56851,22.06293,14.85854,36.22996,7.11044,47.9298,19.20489,20.14695,6.164887
"Gbs-76A",9.045007,7.515759,14.78748,24.98974,12.34381,15.25888,57.27164,5.788579,20.40928,19.99033,107.583,19.61904,16.75783,21.87828,66.41701,21.58566,41.79131,10.86194
"GC1",11.38423,26.5856,15.99462,11.71933,35.02556,15.72127,9.443728,23.5161,19.96879,10.87193,45.59671,13.2717,8.968981,34.73177,31.15437,14.28463,22.18887,16.73327
