"dmel_gene","logFC.cis","logCPM.cis","F.cis","PValue.cis","FDR.cis","logFC.trans","logCPM.trans","F.trans","PValue.trans","FDR.trans","logFC.total","logCPM.total","F.total","PValue.total","FDR.total","Category","Category.factor","Cat.main.factor","Cat.main","sub.cat"
"128up",-0.289117695714838,7.6328433849465,3.27272095441011,0.0864715452585466,0.199787751663345,0.457838601116334,7.6328433849465,4.12274367416793,0.0567091191872397,0.233413407604476,0.168720905401496,7.6328433849465,1.12491507396576,0.30230738025798,0.389134072928464,"Conserved",7,7,"Conserved","Conserved"
"14-3-3epsilon",0.203303970995617,10.4134410016104,2.42452356405344,0.136134373672696,0.280840368057674,-0.220167726400184,10.4134410016104,1.42301745106722,0.24775502962655,0.491688405297235,-0.0168637554045661,10.4134410016104,0.0167067391156875,0.898529922887761,0.928815469965302,"Conserved",7,7,"Conserved","Conserved"
"14-3-3zeta",-0.195290777576898,8.26577729086527,2.4099787945792,0.137246425397718,0.282214657713457,0.518312327568885,8.26577729086527,8.5092257350283,0.00891317435370446,0.0920097743948944,0.323021549991989,8.26577729086527,6.62548243354961,0.0186935371487733,0.0397454286415877,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"312",-0.655354340548442,4.26725117393748,7.00128939829472,0.0160362525110431,0.0534372912165208,0.5555985840906,4.26725117393748,2.59364885222307,0.12396580657669,0.350540031910095,-0.099755756457842,4.26725117393748,0.171838553556501,0.683177609047886,0.747823591559991,"Conserved",7,7,"Conserved","Conserved"
"4E-T",0.0309322786589531,5.89642798520681,0.0735791059543865,0.789153064595854,0.889103463422283,0.197425481022474,5.89642798520681,1.51980426323388,0.232852800391506,0.478670042694361,0.228357759681427,5.89642798520681,4.12233308202942,0.0567203018925451,0.0992699377847298,"Conserved",7,7,"Conserved","Conserved"
"AANATL2",2.85613061071669,9.90430778548785,113.621108117281,2.10162015274436e-09,9.0130457770134e-08,0.175803142397235,9.90430778548785,0.247248718075514,0.624787904727998,0.785719153371268,3.03193375311393,9.90430778548785,125.979595386733,9.03202429273076e-10,3.26328274959964e-08,"Cis only",1,1,"Cis related","Cis only"
"AANATL4",-0.288550905787628,2.29037420678173,0.0412989918193614,0.84118738391233,0.92002144933393,-3.76526583100646,2.29037420678173,2.9891793218333,0.100527567421193,0.316519775040941,-4.05381673679409,2.29037420678173,6.02146450819009,0.0242764594304334,0.0492342650886336,"Ambiguous_total.but.no.trans.no.cis.yet.large.transFC",2.2,2,"Trans related","Trans**"
"Aatf",-1.49844830132623,6.44259473185861,114.972285868039,1.90901568609796e-09,8.46223339845946e-08,0.204568903178197,6.44259473185861,1.126222301926,0.302034612905668,0.539712934646815,-1.29387939814804,6.44259473185861,88.717458921781,1.5140758322835e-08,3.57282366875668e-07,"Cis only",1,1,"Cis related","Cis only"
"aay",0.471981766872353,7.35627931324733,2.12611224181467,0.161321964891186,0.318478055689,-1.89305320690271,7.35627931324733,17.1796211402282,0.000561895716933987,0.0184621915804408,-1.42107144003036,7.35627931324733,19.2856265933611,0.000321229698840068,0.0014227427887333,"Trans only",2,2,"Trans related","Trans only"
"ABCA",0.307221043321507,6.01141865753614,1.2385035705712,0.279796331730532,0.467360877098972,0.1692247035575,6.01141865753614,0.191562400595637,0.666609465687974,0.815169254418989,0.476445746879007,6.01141865753614,3.08342543883957,0.0953830857110266,0.151778514970035,"Conserved",7,7,"Conserved","Conserved"
"ABCB7",0.750374202571791,6.34355386478028,32.0351840324926,1.9407024698986e-05,0.000216431406526747,-0.0967905227965342,6.34355386478028,0.272918442888642,0.60748639689956,0.774468293692621,0.653583679775257,6.34355386478028,25.0205787969539,8.17136420154882e-05,0.000449467634652451,"Cis only",1,1,"Cis related","Cis only"
"ABCD",0.335556300481324,6.61402496917499,6.97600176547622,0.0162010487792713,0.0538503669254292,0.140022985059006,6.61402496917499,0.613012419748658,0.443413529338485,0.657024260466434,0.47557928554033,6.61402496917499,14.1841264513461,0.00132817918528774,0.00451487830056469,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"Abp1",-0.387631641929288,4.55117469466961,5.85808504350267,0.0258163553245986,0.0780374418911635,0.265553366122925,4.55117469466961,1.40962051627029,0.249914121864655,0.493468193570799,-0.122078275806363,4.55117469466961,0.610087337236319,0.444486085940292,0.533848839557158,"Conserved",7,7,"Conserved","Conserved"
"Ac76E",1.40058001067167,2.61932810688333,4.44576537232234,0.0486472165771158,0.128499783397239,-1.360790780445,2.61932810688333,2.34971939111965,0.141971950334765,0.372773538086553,0.039789230226677,2.61932810688333,0.00450767023888856,0.947180229356906,0.963807042796621,"Conserved",7,7,"Conserved","Conserved"
"Ac78C",-0.788627041440624,9.34094198328239,2.97604964133292,0.101285355325674,0.225606313221689,-0.367757154075677,9.34094198328239,0.327713763547642,0.573947068703423,0.752004666520257,-1.1563841955163,9.34094198328239,6.32753395327654,0.0213849916668114,0.0444817945750907,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"Acbp1",0.200546769942526,5.21770007442625,0.591603915610109,0.451361358799286,0.63917615239362,0.783112079099524,5.21770007442625,4.5430554527501,0.0464828934808426,0.212108359092945,0.98365884904205,5.21770007442625,14.2614797119379,0.00129760744152277,0.00442461490241279,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"Acbp2",1.35213443037122,5.25759679626513,3.11038044358529,0.0951664325227551,0.215915239379584,-1.63190310368157,5.25759679626513,2.40313823003752,0.138907492263455,0.368116971791,-0.279768673310356,5.25759679626513,0.149457516747145,0.703693908287863,0.766305814661122,"Conserved",7,7,"Conserved","Conserved"
"ACC",-0.188254149966906,8.9990842123622,0.105274899425653,0.749360913882485,0.863639681173281,-2.62174487639647,8.9990842123622,9.96495154858486,0.00550035139307914,0.0714639251194396,-2.80999902636338,8.9990842123622,20.8224796007085,0.000245857113669655,0.00112970058763713,"Ambiguous_total.but.no.trans.no.cis.yet.large.transFC",2.2,2,"Trans related","Trans**"
"AcCoAS",0.0564510741757958,7.8705047283333,0.00608267103806309,0.938725833234683,0.970263257205861,-2.52310841774116,7.8705047283333,6.02945213481405,0.0248691788905288,0.156358663465482,-2.46665734356536,7.8705047283333,10.8989482006092,0.0041196624116949,0.0113716479443697,"Ambiguous_total.but.no.trans.no.cis.yet.large.transFC",2.2,2,"Trans related","Trans**"
