"logFC","logCPM","F","PValue","FDR","dmel_gene","treatment","tissue"
2.19434483638822,8.57435652995751,320.298242064612,1.46012890589803e-16,1.42262363400144e-14,"PHGPx","Control","Fat Body"
-3.65876000530835,4.94874157862374,315.70338785394,1.7503913298375e-16,1.67263356114664e-14,"ppk30","Control","Fat Body"
3.64670409598861,6.1416874691806,309.848442912721,2.21320672006615e-16,2.07498569660542e-14,"CG14630","Control","Fat Body"
-6.6282179525921,5.52275123192525,311.361123892822,2.43698940916901e-16,2.24248155077052e-14,"Cyp4d20","Control","Fat Body"
-7.37886916022178,5.31726552645308,311.602110256218,2.67358067856069e-16,2.4154586166851e-14,"DNApol-theta","Control","Fat Body"
3.03688988538369,4.07117223426371,300.369906310957,3.26431187206219e-16,2.89649387362089e-14,"Arp6","Control","Fat Body"
1.43025467454843,11.6155102969155,298.427947699696,3.53975699331703e-16,3.08579868417409e-14,"RpL4","Control","Fat Body"
5.86382227543597,6.24687885314837,289.457284349197,6.05299867923674e-16,5.18575007536679e-14,"CG31373","Control","Fat Body"
6.99629216345006,2.71991226101544,283.922550056239,6.58599009589329e-16,5.54674318415149e-14,"MICU3","Control","Fat Body"
3.65509277279183,6.30785920648403,278.754920760706,8.27453348224235e-16,6.85269281221037e-14,"CG44014","Control","Fat Body"
2.76075343383401,4.08994072402599,264.126726063808,1.61331784432444e-15,1.31419284728658e-13,"CG5196","Control","Fat Body"
-1.87221232025015,3.55369382366182,261.263806747522,1.84577820531402e-15,1.47930191971054e-13,"CG10222","Control","Fat Body"
-2.5484480929737,4.73595804827753,260.07077338829,1.9530478508003e-15,1.5179100116575e-13,"Prp19","Control","Fat Body"
-2.01571744650257,8.06961539056756,260.049222047107,1.95504610074622e-15,1.5179100116575e-13,"CG6126","Control","Fat Body"
-1.73042812745846,6.41292434021399,257.132050226132,2.24689830819742e-15,1.69917698362238e-13,"CG7970","Control","Fat Body"
5.81625244340584,4.138021456658,256.97543345308,2.2638370685536e-15,1.69917698362238e-13,"CG32163","Control","Fat Body"
1.73366086350403,6.79571723755063,256.461588211933,2.32038130399792e-15,1.69917698362238e-13,"CG5126","Control","Fat Body"
1.85051200646617,4.64832175176454,256.350531867323,2.3328002606446e-15,1.69917698362238e-13,"Cdk5","Control","Fat Body"
3.26192542990862,8.74295557653716,256.113964906128,2.35949309458532e-15,1.69917698362238e-13,"Acbp2","Control","Fat Body"
1.81760220123158,4.8388070284665,252.12845504689,2.86215006928181e-15,2.03171767060876e-13,"CG7289","Control","Fat Body"
1.47875346671639,11.6772801120777,251.782386453636,2.91093100541845e-15,2.03724171351046e-13,"RpS8","Control","Fat Body"
-2.41228400160273,5.65792352451525,249.230511837213,3.29941287085871e-15,2.27705313268013e-13,"Aprt","Control","Fat Body"
-4.092027741826,5.03292024844023,244.326535176057,4.21131619107477e-15,2.8348558826738e-13,"CG13566","Control","Fat Body"
-3.11398920329506,5.20632457718666,244.277203511114,4.22176162845364e-15,2.8348558826738e-13,"Fkbp59","Control","Fat Body"
-2.29031257110544,4.98174780506009,242.923401421306,4.51955026091125e-15,2.97887555808765e-13,"CG11357","Control","Fat Body"
-1.65712445848747,4.47235098978723,242.56090720538,4.60305978877028e-15,2.97887555808765e-13,"CG12259","Control","Fat Body"
2.96127806805177,4.81422959651907,242.504991765019,4.61608810571038e-15,2.97887555808765e-13,"CG2991","Control","Fat Body"
-1.9157524524809,5.13528323334259,240.415082488776,5.13259141948564e-15,3.26972394402874e-13,"subdued","Control","Fat Body"
-1.98494067318146,4.55872909117208,240.156501514528,5.20069090313918e-15,3.27116874654412e-13,"Sps2","Control","Fat Body"
-1.68510693725344,5.24594371688531,237.869705183808,5.84693826514768e-15,3.63167952993985e-13,"CG5510","Control","Fat Body"
3.6511627662514,4.20408111438315,236.780195800984,6.18470193539919e-15,3.79404739716032e-13,"CG1648","Control","Fat Body"
2.72424806928001,3.73135673981753,235.822943539113,6.49878040503523e-15,3.90651072330155e-13,"Arf51F","Control","Fat Body"
1.72750401228451,4.60017889627213,235.744506869071,6.52526444020987e-15,3.90651072330155e-13,"Aps","Control","Fat Body"
-1.8379186634901,5.15572280609909,231.394019228598,8.19221505066787e-15,4.84608530794865e-13,"CG18048","Control","Fat Body"
1.24162853116886,5.96681338400903,230.722198784514,8.48804421418011e-15,4.962010788266e-13,"CG6766","Control","Fat Body"
1.98203765485042,8.57489143268005,229.967206402543,8.83424451471164e-15,5.10434430158164e-13,"CG4594","Control","Fat Body"
1.96972437213793,3.88933287507518,228.263823286291,9.67228747975837e-15,5.52432143527809e-13,"myo","Control","Fat Body"
3.55011482609233,3.33015009707795,227.533332093739,1.00574845725821e-14,5.6790500955864e-13,"CG10418","Control","Fat Body"
-2.77768571367008,3.71420294600003,227.17756974805,1.02510178189278e-14,5.72329298227554e-13,"Ccz1","Control","Fat Body"
-3.17225344617376,6.17952858707914,224.723484230705,1.16999940914631e-14,6.45969673783115e-13,"l(2)09851","Control","Fat Body"
-4.92278089626258,9.68733480739573,226.094419260509,1.26529206529041e-14,6.909050848822e-13,"CG18557","Control","Fat Body"
