logFC,logCPM,F,PValue,FDR,dmel_gene,species,tissue
-0.762065505,8.672385416,16.89905187,0.000326866,0.026196765,CG13912,*D. simulans*,Fat Body
0.831016895,4.55550392,16.68781956,0.000350072,0.027297628,ast,*D. simulans*,Fat Body
-0.530720856,4.329667147,16.67453353,0.000351589,0.027297628,CG5846,*D. simulans*,Fat Body
-0.368605772,4.966962676,16.49251984,0.000373113,0.027426881,Smn,*D. simulans*,Fat Body
-0.624372538,9.285991169,16.49012198,0.000373406,0.027426881,CG4335,*D. simulans*,Fat Body
0.653030746,4.127522139,16.48534901,0.000373989,0.027426881,sfl,*D. simulans*,Fat Body
-0.593004223,2.986747761,16.47439441,0.000375333,0.027426881,CG30338,*D. simulans*,Fat Body
-0.55825794,8.683061762,16.34037837,0.000392195,0.027952522,CG10467,*D. simulans*,Fat Body
-0.311634856,6.79035658,16.32618614,0.000394028,0.027952522,Ubc10,*D. simulans*,Fat Body
-0.537618163,10.01398058,16.28498211,0.000399402,0.027952522,CG33129,*D. simulans*,Fat Body
-0.751438319,5.954991658,16.22467353,0.000407411,0.02811703,cert,*D. simulans*,Fat Body
-0.488904057,6.360504413,16.11772442,0.000422043,0.028727857,iPLA2-VIA,*D. simulans*,Fat Body
0.81734672,6.635640554,15.97814499,0.000441999,0.029679605,CG8654,*D. simulans*,Fat Body
-0.383770357,9.184316642,15.92603563,0.000449707,0.029794613,Ost48,*D. simulans*,Fat Body
-0.387001443,7.930511581,15.86942255,0.000458247,0.029960924,Rpt3,*D. simulans*,Fat Body
-0.500732342,8.449606219,15.79507987,0.000469728,0.030312713,CG4598,*D. simulans*,Fat Body
-0.563715194,8.561345748,15.74978602,0.000476875,0.03037937,Ak3,*D. simulans*,Fat Body
-0.688432144,7.25109217,15.64419725,0.000493995,0.031039157,CG11999,*D. simulans*,Fat Body
1.273725816,6.318735475,15.70178314,0.000499725,0.031039157,CG33459,*D. simulans*,Fat Body
-0.487708781,5.451882665,15.55939619,0.000508224,0.031054625,Pex12,*D. simulans*,Fat Body
-0.497389886,8.574891433,15.52589687,0.000513967,0.031054625,CG4594,*D. simulans*,Fat Body
