"dmel_gene","tissue","treatment","logFC.hyb_sim","logCPM.hyb_sim","F.hyb_sim","PValue.hyb_sim","FDR.hyb_sim","logFC.hyb_sec","logCPM.hyb_sec","F.hyb_sec","PValue.hyb_sec","FDR.hyb_sec"
"128up","Haemocytes","Control",0.017436357530344,7.59406880588126,0.0100490210177888,0.921536656671352,0.951308345719828,-0.0425350576582415,7.59406880588126,0.0598244597144426,0.810235412491287,0.896927829862793
"128up","Haemocytes","Response",0.136667813093532,7.59406880588126,0.308378751708619,0.587227499236951,0.830462482164857,0.358807025753114,7.59406880588126,2.12517465766284,0.166426402891531,0.868568266367316
"128up","Haemocytes","Wasp",0.154104170623876,7.59406880588126,0.783145886924326,0.390764156744725,0.690508488478201,0.316271968094872,7.59406880588126,3.29469689037525,0.09045062929797,0.184218945770962
"14-3-3epsilon","Haemocytes","Control",1.06771829539703,10.3315380504641,60.3405340997033,1.6408459856599e-06,3.44839146388684e-05,0.148454160699056,10.3315380504641,1.1928134328853,0.292755061787726,0.484709024146345
"14-3-3epsilon","Haemocytes","Response",-0.82392182161471,10.3315380504641,18.3133711588477,0.000723404185595568,0.00968517025131122,0.0727641928838735,10.3315380504641,0.143355702527027,0.710508723196315,0.927258287729166
"14-3-3epsilon","Haemocytes","Wasp",0.243796473782323,10.3315380504641,3.2150301952452,0.0940565189014816,0.32247482314538,0.221218353582929,10.3315380504641,2.64789170130879,0.125432294267302,0.232241260884527
"14-3-3zeta","Haemocytes","Control",0.138968206266948,8.22906581214083,1.39591746196764,0.25661351626105,0.400602633405457,0.187803012194781,8.22906581214083,2.54881425725151,0.132152033349228,0.288296929659709
"14-3-3zeta","Haemocytes","Response",-0.273583107895905,8.22906581214083,2.70556106916785,0.121713263209183,0.384453570915235,-0.00573139286828735,8.22906581214083,0.00118808067178029,0.972978264065452,0.999876030314285
"14-3-3zeta","Haemocytes","Wasp",-0.134614901628957,8.22906581214083,1.31031230519911,0.271066984119152,0.57036148505281,0.182071619326494,8.22906581214083,2.39602967130349,0.143404352252414,0.255560120990367
"312","Haemocytes","Control",0.280131322946323,4.22780988116763,1.33191219069694,0.267319049244655,0.410870624931689,-0.0403050405409191,4.22780988116763,0.0278052497349401,0.869893694968661,0.932265700669264
"312","Haemocytes","Response",-0.204656781334947,4.22780988116763,0.354710447755289,0.560732452086359,0.817383850851716,0.0097541356498108,4.22780988116763,0.000810551817607082,0.977679192755156,0.999876030314285
"312","Haemocytes","Wasp",0.0754745416113762,4.22780988116763,0.0961999886330138,0.760895885717241,0.908850598550478,-0.0305509048911083,4.22780988116763,0.0158543396251366,0.901546625565214,0.933807530547591
"4E-T","Haemocytes","Control",0.188041492076694,5.85440175510925,2.78965159513029,0.116528348143776,0.223245081899274,0.279647719469401,5.85440175510925,6.16497775011166,0.025957377061671,0.0962228840480073
"4E-T","Haemocytes","Response",-0.316560444246529,5.85440175510925,3.94779203898966,0.0663633532714339,0.256459112459204,-0.185786544763207,5.85440175510925,1.36029663588755,0.26249905929854,0.868568266367316
"4E-T","Haemocytes","Wasp",-0.128518952169836,5.85440175510925,1.29963861116017,0.272945224898537,0.572935161695099,0.0938611747061937,5.85440175510925,0.693468150612821,0.41862769187307,0.542970512572029
"AANATL2","Haemocytes","Control",3.85154201917757,9.57139069486042,165.164353222251,2.86741135850057e-09,3.15116560751885e-07,1.9663706329852,9.57139069486042,50.5074334704549,4.59053762592588e-06,0.000196870617697228
"AANATL2","Haemocytes","Response",-3.23278120746653,9.57139069486042,69.6264884165531,6.99821749415384e-07,0.000123051990938872,1.67799875696437,9.57139069486042,19.4419516113972,0.000560944017667922,0.369872461649786
"AANATL2","Haemocytes","Wasp",0.618760811711032,9.57139069486042,5.33380514271124,0.0362680954828848,0.175356740304507,3.64436938994956,9.57139069486042,150.886827987707,5.21468287365864e-09,7.05319286116649e-07
"AANATL4","Haemocytes","Control",-3.02959894347874,2.42549770844877,4.55743305096625,0.0508906513397338,0.120705119522075,-2.98414602575932,2.42549770844877,4.4506576500032,0.053324208215311,0.156789800358727
"AANATL4","Haemocytes","Response",6.36269984454462,2.42549770844877,8.14717723138608,0.0127158498487768,0.081715332238715,2.22417275081827,2.42549770844877,1.35298204859609,0.264154456311762,0.868568266367316
"AANATL4","Haemocytes","Wasp",3.33310090106588,2.42549770844877,3.70460436055403,0.0747773205128714,0.279950578925051,-0.759973274941047,2.42549770844877,0.321313668802756,0.579773122020532,0.689117444492634
"Aatf","Haemocytes","Control",0.277594158063089,6.42710668305225,4.01007106024065,0.0644923062146626,0.143603438308783,-0.412612224430548,6.42710668305225,8.88483121011881,0.00970220190744898,0.0518532067495374
