"seqnames","library","treatment","count.sim","count.sec"
"BomBc2","hyb.c.1","Control",16,4169
"BomBc2","hyb.c.10","Control",175,2112
"BomBc2","hyb.c.2","Control",364,5206
"BomBc2","hyb.c.3","Control",640,4634
"BomBc2","hyb.c.4","Control",161,3946
"BomBc2","hyb.c.5","Control",388,4847
"BomBc2","hyb.c.6","Control",86,2869
"BomBc2","hyb.c.7","Control",986,3576
"BomBc2","hyb.c.8","Control",186,3826
"BomBc2","hyb.c.9","Control",97,2036
"BomBc2","hyb.gdna.1","gDNA",1903,1755
"BomBc2","hyb.gdna.2","gDNA",2355,2281
"BomBc2","hyb.gdna.3","gDNA",2573,2218
"BomBc2","hyb.w.1","Wasp",1865,2481
"BomBc2","hyb.w.10","Wasp",585,3582
"BomBc2","hyb.w.2","Wasp",199,2930
"BomBc2","hyb.w.3","Wasp",252,4146
"BomBc2","hyb.w.4","Wasp",20,3724
"BomBc2","hyb.w.5","Wasp",1598,2638
"BomBc2","hyb.w.6","Wasp",351,3545
"BomBc2","hyb.w.7","Wasp",544,2634
"BomBc2","hyb.w.8","Wasp",412,6252
"BomBc2","hyb.w.9","Wasp",908,4888
"Mtk","hyb.c.1","Control",619,2883
"Mtk","hyb.c.10","Control",625,2781
"Mtk","hyb.c.2","Control",527,2250
"Mtk","hyb.c.3","Control",884,2625
"Mtk","hyb.c.4","Control",1182,1979
"Mtk","hyb.c.5","Control",881,2849
"Mtk","hyb.c.6","Control",663,3060
"Mtk","hyb.c.7","Control",325,2590
"Mtk","hyb.c.8","Control",446,2956
"Mtk","hyb.c.9","Control",619,3161
"Mtk","hyb.gdna.1","gDNA",2161,2239
"Mtk","hyb.gdna.2","gDNA",2319,2519
"Mtk","hyb.gdna.3","gDNA",2188,2215
"Mtk","hyb.w.1","Wasp",1508,1697
"Mtk","hyb.w.10","Wasp",1320,2000
"Mtk","hyb.w.2","Wasp",796,1606
"Mtk","hyb.w.3","Wasp",1482,2357
"Mtk","hyb.w.4","Wasp",843,1669
"Mtk","hyb.w.5","Wasp",1084,1892
"Mtk","hyb.w.6","Wasp",1030,1875
"Mtk","hyb.w.7","Wasp",1291,2221
"Mtk","hyb.w.8","Wasp",1499,3459
"Mtk","hyb.w.9","Wasp",1674,2136
"edin","hyb.c.1","Control",2117,1185
"edin","hyb.c.10","Control",1788,1232
"edin","hyb.c.2","Control",2303,1052
"edin","hyb.c.3","Control",2517,971
"edin","hyb.c.4","Control",2156,916
"edin","hyb.c.5","Control",2278,1199
"edin","hyb.c.6","Control",1837,1233
"edin","hyb.c.7","Control",1552,871
"edin","hyb.c.8","Control",1970,1237
"edin","hyb.c.9","Control",1912,1170
"edin","hyb.gdna.1","gDNA",1452,1365
"edin","hyb.gdna.2","gDNA",1372,1408
"edin","hyb.gdna.3","gDNA",1266,1285
"edin","hyb.w.1","Wasp",1762,1144
"edin","hyb.w.10","Wasp",2235,995
"edin","hyb.w.2","Wasp",2289,1114
"edin","hyb.w.3","Wasp",2197,1183
"edin","hyb.w.4","Wasp",1588,768
"edin","hyb.w.5","Wasp",1813,1276
"edin","hyb.w.6","Wasp",2020,866
"edin","hyb.w.7","Wasp",2486,967
"edin","hyb.w.8","Wasp",2748,1208
"edin","hyb.w.9","Wasp",2334,1397
"TotX","hyb.c.1","Control",565,1494
"TotX","hyb.c.10","Control",867,1519
"TotX","hyb.c.2","Control",1618,1502
"TotX","hyb.c.3","Control",834,2011
"TotX","hyb.c.4","Control",1823,1338
"TotX","hyb.c.5","Control",1091,1839
"TotX","hyb.c.6","Control",666,2426
"TotX","hyb.c.7","Control",329,1563
"TotX","hyb.c.8","Control",656,1926
"TotX","hyb.c.9","Control",688,2295
"TotX","hyb.gdna.1","gDNA",1291,1356
"TotX","hyb.gdna.2","gDNA",1499,1394
"TotX","hyb.gdna.3","gDNA",1312,1108
"TotX","hyb.w.1","Wasp",1647,941
"TotX","hyb.w.10","Wasp",1602,1466
"TotX","hyb.w.2","Wasp",1692,738
"TotX","hyb.w.3","Wasp",1363,860
"TotX","hyb.w.4","Wasp",1574,698
"TotX","hyb.w.5","Wasp",1375,811
"TotX","hyb.w.6","Wasp",1234,1386
"TotX","hyb.w.7","Wasp",1653,1490
"TotX","hyb.w.8","Wasp",1621,2691
"TotX","hyb.w.9","Wasp",1573,1438
"BomS1","hyb.c.1","Control",3271,2452
"BomS1","hyb.c.10","Control",3905,867
"BomS1","hyb.c.2","Control",3593,1620
"BomS1","hyb.c.3","Control",3463,1672
"BomS1","hyb.c.4","Control",3604,1387
"BomS1","hyb.c.5","Control",3697,1805
"BomS1","hyb.c.6","Control",4074,773
"BomS1","hyb.c.7","Control",3209,1428
