scaffold_0:FlyBase:exon:2992:3089:.:-:.:	FBtr0207981
scaffold_0:FlyBase:exon:3147:3245:.:-:.:	FBtr0207981
scaffold_0:FlyBase:exon:3306:3810:.:-:.:	FBtr0207981
scaffold_0:FlyBase:exon:5720:6692:.:-:.:	FBtr0207980
scaffold_0:FlyBase:exon:12050:12261:.:-:.:	FBtr0207980
scaffold_0:FlyBase:exon:15812:16179:.:-:.:	FBtr0207980
scaffold_0:FlyBase:exon:16413:16572:.:-:.:	FBtr0207980
scaffold_0:FlyBase:exon:16638:17090:.:-:.:	FBtr0207980
scaffold_0:FlyBase:exon:17155:17256:.:-:.:	FBtr0207980
scaffold_0:FlyBase:exon:19394:19420:.:-:.:	FBtr0207980
scaffold_0:FlyBase:exon:23434:23979:.:-:.:	FBtr0207979
scaffold_0:FlyBase:exon:25692:25709:.:+:.:	FBtr0207982
scaffold_0:FlyBase:exon:26347:26703:.:+:.:	FBtr0207982
scaffold_0:FlyBase:exon:26764:27648:.:+:.:	FBtr0207982
scaffold_0:FlyBase:exon:28154:29238:.:-:.:	FBtr0207978
scaffold_0:FlyBase:exon:29305:29480:.:-:.:	FBtr0207978
scaffold_0:FlyBase:exon:29539:31324:.:-:.:	FBtr0207978
scaffold_0:FlyBase:exon:31812:32335:.:-:.:	FBtr0207978
scaffold_0:FlyBase:exon:32390:32561:.:-:.:	FBtr0207978
scaffold_0:FlyBase:exon:32624:32894:.:-:.:	FBtr0207978
scaffold_0:FlyBase:exon:35222:35379:.:-:.:	FBtr0207977
scaffold_0:FlyBase:exon:35575:35920:.:-:.:	FBtr0207977
scaffold_0:FlyBase:exon:36097:36548:.:-:.:	FBtr0207977
scaffold_0:FlyBase:exon:36858:39072:.:-:.:	FBtr0207977
scaffold_0:FlyBase:exon:40456:40632:.:-:.:	FBtr0207976
scaffold_0:FlyBase:exon:40698:40823:.:-:.:	FBtr0207976
scaffold_0:FlyBase:exon:40889:41007:.:-:.:	FBtr0207976
scaffold_0:FlyBase:exon:43108:43540:.:-:.:	FBtr0207976
scaffold_0:FlyBase:exon:43605:43865:.:-:.:	FBtr0207976
scaffold_0:FlyBase:exon:44349:44401:.:-:.:	FBtr0207976
scaffold_0:FlyBase:exon:44815:44857:.:-:.:	FBtr0207976
scaffold_0:FlyBase:exon:45282:45396:.:-:.:	FBtr0207975
scaffold_0:FlyBase:exon:45453:45610:.:-:.:	FBtr0207975
scaffold_0:FlyBase:exon:48752:48862:.:-:.:	FBtr0207975
scaffold_0:FlyBase:exon:54253:55002:.:+:.:	FBtr0207983
scaffold_0:FlyBase:exon:61245:61709:.:+:.:	FBtr0207985
scaffold_0:FlyBase:exon:63721:63790:.:+:.:	FBtr0207986
scaffold_0:FlyBase:exon:63939:64090:.:+:.:	FBtr0207986
scaffold_0:FlyBase:exon:67418:67447:.:+:.:	FBtr0207987
scaffold_0:FlyBase:exon:68336:69008:.:+:.:	FBtr0207987
